item	itemLabel
http://www.wikidata.org/entity/Q807709	Barbara van Schewick
http://www.wikidata.org/entity/Q855320	Bianca-Jeanette Schröder
http://www.wikidata.org/entity/Q865207	Birgit Drießen-Hölscher
http://www.wikidata.org/entity/Q865268	Birgit Liß
http://www.wikidata.org/entity/Q807649	Barbara Stiegler
http://www.wikidata.org/entity/Q750612	Astrid Kaiser
http://www.wikidata.org/entity/Q750966	Astrid von Friesen
http://www.wikidata.org/entity/Q769944	Erzsébet Angster
http://www.wikidata.org/entity/Q788200	Chahdortt Djavann
http://www.wikidata.org/entity/Q794249	Éva Bettelheim
http://www.wikidata.org/entity/Q807477	Barbara Hölscher
http://www.wikidata.org/entity/Q807679	Barbara Wappmann-Sulzer
http://www.wikidata.org/entity/Q817031	Benedikta Hintersberger
http://www.wikidata.org/entity/Q833859	Ildikó Boldizsár
http://www.wikidata.org/entity/Q865201	Birgit Bütow
http://www.wikidata.org/entity/Q584934	Antje Weithaas
http://www.wikidata.org/entity/Q766558	Auguste Götze
http://www.wikidata.org/entity/Q770127	Silvia Di Natale
http://www.wikidata.org/entity/Q788439	Emőke Bagdy
http://www.wikidata.org/entity/Q807353	Barbara Beyenka
http://www.wikidata.org/entity/Q807415	Barbara Feichtinger
http://www.wikidata.org/entity/Q832603	Bettina Fischer
http://www.wikidata.org/entity/Q850427	Betty Wishart
http://www.wikidata.org/entity/Q865191	Birgit Beisheim
http://www.wikidata.org/entity/Q870791	Magdolna Csath
http://www.wikidata.org/entity/Q873402	Csillik Iharka
http://www.wikidata.org/entity/Q834733	Jolán Borbély
http://www.wikidata.org/entity/Q996155	Q996155
http://www.wikidata.org/entity/Q1031889	Q1031889
http://www.wikidata.org/entity/Q916009	Brigitta Kreß
http://www.wikidata.org/entity/Q916080	Brigitte A. Rollett
http://www.wikidata.org/entity/Q916684	Brigitte Sindelar
http://www.wikidata.org/entity/Q979906	Rosalia Chladek
http://www.wikidata.org/entity/Q1004444	Vilma Fux
http://www.wikidata.org/entity/Q1031070	Orsolya Gállos
http://www.wikidata.org/entity/Q1032394	Krisztina Hadas
http://www.wikidata.org/entity/Q1037247	Róza Hodosán
http://www.wikidata.org/entity/Q1043638	Carmen Coronini
http://www.wikidata.org/entity/Q1044205	Carola Barth
http://www.wikidata.org/entity/Q1067264	Charlotte Lütkens
http://www.wikidata.org/entity/Q1068488	Chava Lifshitz
http://www.wikidata.org/entity/Q1073435	Sufiah Yusof
http://www.wikidata.org/entity/Q1078122	Christa Maria Ziese
http://www.wikidata.org/entity/Q1078141	Christa Müller
http://www.wikidata.org/entity/Q1078318	Christel Meier-Staubach
http://www.wikidata.org/entity/Q1078320	Christel Neusüß
http://www.wikidata.org/entity/Q1078354	Christel Tennyson
http://www.wikidata.org/entity/Q1078361	Christel Ulbrich
http://www.wikidata.org/entity/Q1067281	Lotte Müller
http://www.wikidata.org/entity/Q875675	Valéria Csépe
http://www.wikidata.org/entity/Q903640	Zsuzsa Demcsák
