item	label
http://www.wikidata.org/entity/Q64160193	Arxius Municipals de Perpinyà
http://www.wikidata.org/entity/Q68078694	Sam Houston Memorial Museum
http://www.wikidata.org/entity/Q2047427	Museu del Palau
http://www.wikidata.org/entity/Q5727988	Biblioteca de la Universitat Carlos III de Madrid
http://www.wikidata.org/entity/Q2498040	Museu nacional de Kuwait
http://www.wikidata.org/entity/Q304418	Scottish Sports Hall of Fame
http://www.wikidata.org/entity/Q28729453	Gemeindebücherei Kastl
http://www.wikidata.org/entity/Q880794	Biblioteca de la Universitat de Heidelberg
http://www.wikidata.org/entity/Q1028334	Biblioteca de la Universitat de Cambridge
http://www.wikidata.org/entity/Q28729341	Gemeindebücherei Schwaig
http://www.wikidata.org/entity/Q28729358	Gemeindebücherei Kümmersbruck
http://www.wikidata.org/entity/Q28733698	Bibliothek der Benediktinerabtei Plankstetten
http://www.wikidata.org/entity/Q28662344	Stadtbücherei Berching
http://www.wikidata.org/entity/Q28734696	Katholische Öffentliche Bücherei Kersbach
http://www.wikidata.org/entity/Q2046319	Amgueddfa Cymru – National Museum Wales
http://www.wikidata.org/entity/Q28729364	Gemeindebücherei Wendelstein
http://www.wikidata.org/entity/Q28734577	Büchereistadl Georgensgmünd - Haus des Gastes
http://www.wikidata.org/entity/Q3354774	Biblioteca de la Universitat d'Oslo
http://www.wikidata.org/entity/Q28729350	Gemeindebücherei St. Michael Lauterhofen
http://www.wikidata.org/entity/Q28729443	Gemeindebücherei Schnaittach
http://www.wikidata.org/entity/Q39087142	Cabot Science Library
http://www.wikidata.org/entity/Q67202648	Arkansas Post National Memorial Visitor Center and Museum
http://www.wikidata.org/entity/Q63342361	Tumacácori Museum
http://www.wikidata.org/entity/Q75135478	Museum of Westward Expansion
http://www.wikidata.org/entity/Q464872	Staatliches Museum Ägyptischer Kunst
http://www.wikidata.org/entity/Q510993	Museu Històric Nacional
http://www.wikidata.org/entity/Q4929724	Blue Ridge Music Center
http://www.wikidata.org/entity/Q3330698	Museu Nacional de Sierra Leone
http://www.wikidata.org/entity/Q258100	Saló de la Fama del Blues
http://www.wikidata.org/entity/Q28481273	Biblioteca de la UOC
http://www.wikidata.org/entity/Q7896467	Biblioteca de la Universitat de Tòquio
http://www.wikidata.org/entity/Q28735045	Stadt- und Pfarrbücherei Greding
http://www.wikidata.org/entity/Q28738540	biblioteca del Museu Folkwang
http://www.wikidata.org/entity/Q28739607	Katholische Öffentliche Bibliothek St. Michael, Vilshofen
http://www.wikidata.org/entity/Q27488714	Mémoires d'ici
http://www.wikidata.org/entity/Q615404	Anıtkabir
http://www.wikidata.org/entity/Q850207	Museu Nacional Brukenthal
http://www.wikidata.org/entity/Q1741117	Museu Regional d'Artà
http://www.wikidata.org/entity/Q964035	Museu d'Història de l'Ordinador
http://www.wikidata.org/entity/Q28738492	biblioteca del ministeri federal de Família, Tercera Edat, Dones i Joventut
http://www.wikidata.org/entity/Q31818466	Bibliotèca de Babel
http://www.wikidata.org/entity/Q24568958	Biblioteca de la Universitat de Leeds
http://www.wikidata.org/entity/Q28739591	Bibliothek Sulzbach-Rosenberg der Hochschule für den öffentlichen Dienst in Bayern
