item	itemLabel	enarticle
http://www.wikidata.org/entity/Q124482	Anna Margarete Stegmann	https://en.wikipedia.org/wiki/Anna_Margarete_Stegmann
http://www.wikidata.org/entity/Q125383	Chantal Galladé	https://en.wikipedia.org/wiki/Chantal_Gallad%C3%A9
http://www.wikidata.org/entity/Q130064	Theda Skocpol	https://en.wikipedia.org/wiki/Theda_Skocpol
http://www.wikidata.org/entity/Q161972	Aura Twarowska	https://en.wikipedia.org/wiki/Aura_Twarowska
http://www.wikidata.org/entity/Q108089	Cora Berliner	https://en.wikipedia.org/wiki/Cora_Berliner
http://www.wikidata.org/entity/Q110856	Stefanie Dimmeler	https://en.wikipedia.org/wiki/Stefanie_Dimmeler
http://www.wikidata.org/entity/Q114944	Gisela Anton	https://en.wikipedia.org/wiki/Gisela_Anton
http://www.wikidata.org/entity/Q124137	Konstanze Krüger	https://en.wikipedia.org/wiki/Konstanze_Kr%C3%BCger
http://www.wikidata.org/entity/Q132433	Yuki Kajiura	https://en.wikipedia.org/wiki/Yuki_Kajiura
http://www.wikidata.org/entity/Q168267	Hilda Geiringer	https://en.wikipedia.org/wiki/Hilda_Geiringer
http://www.wikidata.org/entity/Q180923	Susan Kieffer	https://en.wikipedia.org/wiki/Susan_Kieffer
http://www.wikidata.org/entity/Q110470	Claudia Märtl	https://en.wikipedia.org/wiki/Claudia_M%C3%A4rtl
http://www.wikidata.org/entity/Q114007	Uta Gerhardt	https://en.wikipedia.org/wiki/Uta_Gerhardt
http://www.wikidata.org/entity/Q114741	Marianne Plehn	https://en.wikipedia.org/wiki/Marianne_Plehn
http://www.wikidata.org/entity/Q116028	Amelia Shepherd	https://en.wikipedia.org/wiki/Amelia_Shepherd
http://www.wikidata.org/entity/Q120859	Nadja Hirsch	https://en.wikipedia.org/wiki/Nadja_Hirsch
http://www.wikidata.org/entity/Q132475	Eleanor Rosch	https://en.wikipedia.org/wiki/Eleanor_Rosch
http://www.wikidata.org/entity/Q140355	Zagorka Golubović	https://en.wikipedia.org/wiki/Zagorka_Golubovi%C4%87
http://www.wikidata.org/entity/Q155199	Susan Blackmore	https://en.wikipedia.org/wiki/Susan_Blackmore
http://www.wikidata.org/entity/Q182934	Jennifer Fallon	https://en.wikipedia.org/wiki/Jennifer_Fallon
http://www.wikidata.org/entity/Q109072	Hel Braun	https://en.wikipedia.org/wiki/Hel_Braun
http://www.wikidata.org/entity/Q109542	Helga Schubert	https://en.wikipedia.org/wiki/Helga_Schubert
http://www.wikidata.org/entity/Q110042	Anneli Ute Gabanyi	https://en.wikipedia.org/wiki/Anneli_Ute_Gabanyi
http://www.wikidata.org/entity/Q111115	Aleida Assmann	https://en.wikipedia.org/wiki/Aleida_Assmann
http://www.wikidata.org/entity/Q111456	Monika Schäfer-Korting	https://en.wikipedia.org/wiki/Monika_Sch%C3%A4fer-Korting
http://www.wikidata.org/entity/Q112988	Mary Boyce	https://en.wikipedia.org/wiki/Mary_Boyce
http://www.wikidata.org/entity/Q123504	Bärbel Höhn	https://en.wikipedia.org/wiki/B%C3%A4rbel_H%C3%B6hn
http://www.wikidata.org/entity/Q182813	Florica Musicescu	https://en.wikipedia.org/wiki/Florica_Musicescu
http://www.wikidata.org/entity/Q205618	Naomi Oreskes	https://en.wikipedia.org/wiki/Naomi_Oreskes
http://www.wikidata.org/entity/Q214791	Charlotte Selver	https://en.wikipedia.org/wiki/Charlotte_Selver
http://www.wikidata.org/entity/Q219533	Angela Beesley Starling	https://en.wikipedia.org/wiki/Angela_Beesley
http://www.wikidata.org/entity/Q225625	Silvi Vrait	https://en.wikipedia.org/wiki/Silvi_Vrait
http://www.wikidata.org/entity/Q234928	Alice Bradley Sheldon	https://en.wikipedia.org/wiki/James_Tiptree_Jr.
http://www.wikidata.org/entity/Q198175	Maureen Fiedler	https://en.wikipedia.org/wiki/Maureen_Fiedler
http://www.wikidata.org/entity/Q207110	Zlata Bartl	https://en.wikipedia.org/wiki/Zlata_Bartl
http://www.wikidata.org/entity/Q213648	Margaret Mahler	https://en.wikipedia.org/wiki/Margaret_Mahler
http://www.wikidata.org/entity/Q220234	Diana Deutsch	https://en.wikipedia.org/wiki/Diana_Deutsch
http://www.wikidata.org/entity/Q233669	Lou Henry Hoover	https://en.wikipedia.org/wiki/Lou_Henry_Hoover
http://www.wikidata.org/entity/Q237473	Helen Sharman	https://en.wikipedia.org/wiki/Helen_Sharman
http://www.wikidata.org/entity/Q249978	Eva Klein	https://en.wikipedia.org/wiki/Eva_Klein
http://www.wikidata.org/entity/Q256407	Birgit Zotz	https://en.wikipedia.org/wiki/Birgit_Zotz
http://www.wikidata.org/entity/Q260432	Tatyana Golikova	https://en.wikipedia.org/wiki/Tatyana_Golikova
http://www.wikidata.org/entity/Q261112	Grażyna Gęsicka	https://en.wikipedia.org/wiki/Gra%C5%BCyna_G%C4%99sicka
http://www.wikidata.org/entity/Q220196	Barry Stevens	https://en.wikipedia.org/wiki/Barry_Stevens_(therapist)
http://www.wikidata.org/entity/Q183469	Juanita M. Kreps	https://en.wikipedia.org/wiki/Juanita_M._Kreps
http://www.wikidata.org/entity/Q191659	Zerka T. Moreno	https://en.wikipedia.org/wiki/Zerka_T._Moreno
http://www.wikidata.org/entity/Q197941	Jane Luu	https://en.wikipedia.org/wiki/Jane_Luu
http://www.wikidata.org/entity/Q200913	Barbara Wootton, Baroness Wootton of Abinger	https://en.wikipedia.org/wiki/Barbara_Wootton,_Baroness_Wootton_of_Abinger
http://www.wikidata.org/entity/Q201079	Barbara Bonney	https://en.wikipedia.org/wiki/Barbara_Bonney
http://www.wikidata.org/entity/Q201472	Elena Venttsel	https://en.wikipedia.org/wiki/Irina_Grekova
