order	rank	section	wd_q_id	lang
0	1	موقعه	Q303139	ar
0	2	التأسيس	Q303139	ar
1	1	المجموعة	Q303139	ar
1	2	العمارة	Q303139	ar
2	1	أهداف المتحف	Q303139	ar
2	2	الهندسة المعمارية	Q303139	ar
3	1	مجموعات المتحف	Q303139	ar
3	2	معارض	Q303139	ar
0	1	موقعه	Q488005	ar
0	2	التأسيس	Q488005	ar
1	1	المجموعة	Q488005	ar
1	2	العمارة	Q488005	ar
2	1	أهداف المتحف	Q488005	ar
2	2	الهندسة المعمارية	Q488005	ar
3	1	مجموعات المتحف	Q488005	ar
3	2	معارض	Q488005	ar
0	1	موقعه	Q865736	ar
0	2	التأسيس	Q865736	ar
1	1	المجموعة	Q865736	ar
1	2	العمارة	Q865736	ar
2	1	أهداف المتحف	Q865736	ar
2	2	الهندسة المعمارية	Q865736	ar
3	1	مجموعات المتحف	Q865736	ar
3	2	معارض	Q865736	ar
0	1	موقعه	Q5161648	ar
0	2	التأسيس	Q5161648	ar
1	1	المجموعة	Q5161648	ar
1	2	العمارة	Q5161648	ar
2	1	أهداف المتحف	Q5161648	ar
2	2	الهندسة المعمارية	Q5161648	ar
3	1	مجموعات المتحف	Q5161648	ar
3	2	معارض	Q5161648	ar
0	1	موقعه	Q495590	ar
0	2	التأسيس	Q495590	ar
1	1	المجموعة	Q495590	ar
1	2	العمارة	Q495590	ar
2	1	أهداف المتحف	Q495590	ar
2	2	الهندسة المعمارية	Q495590	ar
3	1	مجموعات المتحف	Q495590	ar
3	2	معارض	Q495590	ar
0	1	موقعه	Q2711480	ar
0	2	التأسيس	Q2711480	ar
1	1	المجموعة	Q2711480	ar
1	2	العمارة	Q2711480	ar
2	1	أهداف المتحف	Q2711480	ar
2	2	الهندسة المعمارية	Q2711480	ar
3	1	مجموعات المتحف	Q2711480	ar
3	2	معارض	Q2711480	ar
0	1	موقعه	Q2864562	ar
0	2	التأسيس	Q2864562	ar
1	1	المجموعة	Q2864562	ar
1	2	العمارة	Q2864562	ar
2	1	أهداف المتحف	Q2864562	ar
2	2	الهندسة المعمارية	Q2864562	ar
3	1	مجموعات المتحف	Q2864562	ar
3	2	معارض	Q2864562	ar
0	1	موقعه	Q1956214	ar
0	2	التأسيس	Q1956214	ar
1	1	المجموعة	Q1956214	ar
1	2	العمارة	Q1956214	ar
2	1	أهداف المتحف	Q1956214	ar
2	2	الهندسة المعمارية	Q1956214	ar
3	1	مجموعات المتحف	Q1956214	ar
3	2	معارض	Q1956214	ar
0	1	موقعه	Q11795583	ar
0	2	التأسيس	Q11795583	ar
1	1	المجموعة	Q11795583	ar
1	2	العمارة	Q11795583	ar
2	1	أهداف المتحف	Q11795583	ar
2	2	الهندسة المعمارية	Q11795583	ar
3	1	مجموعات المتحف	Q11795583	ar
3	2	معارض	Q11795583	ar
0	1	موقعه	Q6837811	ar
0	2	التأسيس	Q6837811	ar
1	1	المجموعة	Q6837811	ar
1	2	العمارة	Q6837811	ar
2	1	أهداف المتحف	Q6837811	ar
2	2	الهندسة المعمارية	Q6837811	ar
3	1	مجموعات المتحف	Q6837811	ar
3	2	معارض	Q6837811	ar
0	1	موقعه	Q21043512	ar
0	2	التأسيس	Q21043512	ar
1	1	المجموعة	Q21043512	ar
1	2	العمارة	Q21043512	ar
2	1	أهداف المتحف	Q21043512	ar
2	2	الهندسة المعمارية	Q21043512	ar
3	1	مجموعات المتحف	Q21043512	ar
3	2	معارض	Q21043512	ar
0	1	موقعه	Q1760539	ar
0	2	التأسيس	Q1760539	ar
1	1	المجموعة	Q1760539	ar
1	2	العمارة	Q1760539	ar
2	1	أهداف المتحف	Q1760539	ar
2	2	الهندسة المعمارية	Q1760539	ar
3	1	مجموعات المتحف	Q1760539	ar
3	2	معارض	Q1760539	ar
0	1	موقعه	Q913672	ar
0	2	التأسيس	Q913672	ar
1	1	المجموعة	Q913672	ar
1	2	العمارة	Q913672	ar
2	1	أهداف المتحف	Q913672	ar
2	2	الهندسة المعمارية	Q913672	ar
3	1	مجموعات المتحف	Q913672	ar
3	2	معارض	Q913672	ar
0	1	موقعه	Q857276	ar
0	2	التأسيس	Q857276	ar
1	1	المجموعة	Q857276	ar
1	2	العمارة	Q857276	ar
2	1	أهداف المتحف	Q857276	ar
2	2	الهندسة المعمارية	Q857276	ar
3	1	مجموعات المتحف	Q857276	ar
3	2	معارض	Q857276	ar
0	1	موقعه	Q866498	ar
0	2	التأسيس	Q866498	ar
1	1	المجموعة	Q866498	ar
1	2	العمارة	Q866498	ar
2	1	أهداف المتحف	Q866498	ar
2	2	الهندسة المعمارية	Q866498	ar
3	1	مجموعات المتحف	Q866498	ar
3	2	معارض	Q866498	ar
0	1	موقعه	Q7708211	ar
0	2	التأسيس	Q7708211	ar
1	1	المجموعة	Q7708211	ar
1	2	العمارة	Q7708211	ar
2	1	أهداف المتحف	Q7708211	ar
2	2	الهندسة المعمارية	Q7708211	ar
3	1	مجموعات المتحف	Q7708211	ar
3	2	معارض	Q7708211	ar
0	1	موقعه	Q6055547	ar
0	2	التأسيس	Q6055547	ar
1	1	المجموعة	Q6055547	ar
1	2	العمارة	Q6055547	ar
2	1	أهداف المتحف	Q6055547	ar
2	2	الهندسة المعمارية	Q6055547	ar
3	1	مجموعات المتحف	Q6055547	ar
3	2	معارض	Q6055547	ar
0	1	موقعه	Q5587398	ar
0	2	التأسيس	Q5587398	ar
1	1	المجموعة	Q5587398	ar
1	2	العمارة	Q5587398	ar
2	1	أهداف المتحف	Q5587398	ar
2	2	الهندسة المعمارية	Q5587398	ar
3	1	مجموعات المتحف	Q5587398	ar
3	2	معارض	Q5587398	ar
0	1	موقعه	Q36460247	ar
0	2	التأسيس	Q36460247	ar
1	1	المجموعة	Q36460247	ar
1	2	العمارة	Q36460247	ar
2	1	أهداف المتحف	Q36460247	ar
2	2	الهندسة المعمارية	Q36460247	ar
3	1	مجموعات المتحف	Q36460247	ar
3	2	معارض	Q36460247	ar
0	1	موقعه	Q8035502	ar
0	2	التأسيس	Q8035502	ar
1	1	المجموعة	Q8035502	ar
1	2	العمارة	Q8035502	ar
2	1	أهداف المتحف	Q8035502	ar
2	2	الهندسة المعمارية	Q8035502	ar
3	1	مجموعات المتحف	Q8035502	ar
3	2	معارض	Q8035502	ar
0	1	موقعه	Q22021768	ar
0	2	التأسيس	Q22021768	ar
1	1	المجموعة	Q22021768	ar
1	2	العمارة	Q22021768	ar
2	1	أهداف المتحف	Q22021768	ar
2	2	الهندسة المعمارية	Q22021768	ar
3	1	مجموعات المتحف	Q22021768	ar
3	2	معارض	Q22021768	ar
0	1	موقعه	Q430682	ar
0	2	التأسيس	Q430682	ar
1	1	المجموعة	Q430682	ar
1	2	العمارة	Q430682	ar
2	1	أهداف المتحف	Q430682	ar
2	2	الهندسة المعمارية	Q430682	ar
3	1	مجموعات المتحف	Q430682	ar
3	2	معارض	Q430682	ar
0	1	موقعه	Q1043967	ar
0	2	التأسيس	Q1043967	ar
1	1	المجموعة	Q1043967	ar
1	2	العمارة	Q1043967	ar
2	1	أهداف المتحف	Q1043967	ar
2	2	الهندسة المعمارية	Q1043967	ar
3	1	مجموعات المتحف	Q1043967	ar
3	2	معارض	Q1043967	ar
0	1	موقعه	Q924335	ar
0	2	التأسيس	Q924335	ar
1	1	المجموعة	Q924335	ar
1	2	العمارة	Q924335	ar
2	1	أهداف المتحف	Q924335	ar
2	2	الهندسة المعمارية	Q924335	ar
3	1	مجموعات المتحف	Q924335	ar
3	2	معارض	Q924335	ar
0	1	موقعه	Q114418	ar
0	2	التأسيس	Q114418	ar
1	1	المجموعة	Q114418	ar
1	2	العمارة	Q114418	ar
2	1	أهداف المتحف	Q114418	ar
2	2	الهندسة المعمارية	Q114418	ar
3	1	مجموعات المتحف	Q114418	ar
3	2	معارض	Q114418	ar
0	1	موقعه	Q316242	ar
0	2	التأسيس	Q316242	ar
1	1	المجموعة	Q316242	ar
1	2	العمارة	Q316242	ar
2	1	أهداف المتحف	Q316242	ar
2	2	الهندسة المعمارية	Q316242	ar
3	1	مجموعات المتحف	Q316242	ar
3	2	معارض	Q316242	ar
0	1	موقعه	Q4819492	ar
0	2	التأسيس	Q4819492	ar
1	1	المجموعة	Q4819492	ar
1	2	العمارة	Q4819492	ar
2	1	أهداف المتحف	Q4819492	ar
2	2	الهندسة المعمارية	Q4819492	ar
3	1	مجموعات المتحف	Q4819492	ar
3	2	معارض	Q4819492	ar
0	1	موقعه	Q5194236	ar
0	2	التأسيس	Q5194236	ar
1	1	المجموعة	Q5194236	ar
1	2	العمارة	Q5194236	ar
2	1	أهداف المتحف	Q5194236	ar
2	2	الهندسة المعمارية	Q5194236	ar
3	1	مجموعات المتحف	Q5194236	ar
3	2	معارض	Q5194236	ar
0	1	موقعه	Q7335252	ar
0	2	التأسيس	Q7335252	ar
1	1	المجموعة	Q7335252	ar
1	2	العمارة	Q7335252	ar
2	1	أهداف المتحف	Q7335252	ar
2	2	الهندسة المعمارية	Q7335252	ar
3	1	مجموعات المتحف	Q7335252	ar
3	2	معارض	Q7335252	ar
0	1	تاريخ المكتبة	Q7233488	ar
0	2	التأسيس	Q7233488	ar
1	1	أهداف المكتبة	Q7233488	ar
1	2	المكتبة	Q7233488	ar
2	1	أقسامها	Q7233488	ar
2	2	الإفتتاح	Q7233488	ar
3	1	انظر ايضاً	Q7233488	ar
3	2	الخدمات	Q7233488	ar
4	1	الفن المعاصر	Q7233488	ar
4	2	المنشأت	Q7233488	ar
0	1	تاريخ المكتبة	Q7971387	ar
0	2	التأسيس	Q7971387	ar
1	1	أهداف المكتبة	Q7971387	ar
1	2	المكتبة	Q7971387	ar
2	1	أقسامها	Q7971387	ar
2	2	الإفتتاح	Q7971387	ar
3	1	انظر ايضاً	Q7971387	ar
3	2	الخدمات	Q7971387	ar
4	1	الفن المعاصر	Q7971387	ar
4	2	المنشأت	Q7971387	ar
0	1	موقعه	Q28226147	ar
0	2	التأسيس	Q28226147	ar
1	1	المجموعة	Q28226147	ar
1	2	العمارة	Q28226147	ar
2	1	أهداف المتحف	Q28226147	ar
2	2	الهندسة المعمارية	Q28226147	ar
3	1	مجموعات المتحف	Q28226147	ar
3	2	معارض	Q28226147	ar
0	1	موقعه	Q5572991	ar
0	2	التأسيس	Q5572991	ar
1	1	المجموعة	Q5572991	ar
1	2	العمارة	Q5572991	ar
2	1	أهداف المتحف	Q5572991	ar
2	2	الهندسة المعمارية	Q5572991	ar
3	1	مجموعات المتحف	Q5572991	ar
3	2	معارض	Q5572991	ar
0	1	موقعه	Q758657	ar
0	2	التأسيس	Q758657	ar
1	1	المجموعة	Q758657	ar
1	2	العمارة	Q758657	ar
2	1	أهداف المتحف	Q758657	ar
2	2	الهندسة المعمارية	Q758657	ar
3	1	مجموعات المتحف	Q758657	ar
3	2	معارض	Q758657	ar
0	1	موقعه	Q782783	ar
0	2	التأسيس	Q782783	ar
1	1	المجموعة	Q782783	ar
1	2	العمارة	Q782783	ar
2	1	أهداف المتحف	Q782783	ar
2	2	الهندسة المعمارية	Q782783	ar
3	1	مجموعات المتحف	Q782783	ar
3	2	معارض	Q782783	ar
0	1	موقعه	Q3348664	ar
0	2	التأسيس	Q3348664	ar
1	1	المجموعة	Q3348664	ar
1	2	العمارة	Q3348664	ar
2	1	أهداف المتحف	Q3348664	ar
2	2	الهندسة المعمارية	Q3348664	ar
3	1	مجموعات المتحف	Q3348664	ar
3	2	معارض	Q3348664	ar
0	1	موقعه	Q6352575	ar
0	2	التأسيس	Q6352575	ar
1	1	المجموعة	Q6352575	ar
1	2	العمارة	Q6352575	ar
2	1	أهداف المتحف	Q6352575	ar
2	2	الهندسة المعمارية	Q6352575	ar
3	1	مجموعات المتحف	Q6352575	ar
3	2	معارض	Q6352575	ar
0	1	موقعه	Q902624	ar
0	2	التأسيس	Q902624	ar
1	1	المجموعة	Q902624	ar
1	2	العمارة	Q902624	ar
2	1	أهداف المتحف	Q902624	ar
2	2	الهندسة المعمارية	Q902624	ar
3	1	مجموعات المتحف	Q902624	ar
3	2	معارض	Q902624	ar
0	1	موقعه	Q159483	ar
0	2	التأسيس	Q159483	ar
1	1	المجموعة	Q159483	ar
1	2	العمارة	Q159483	ar
2	1	أهداف المتحف	Q159483	ar
2	2	الهندسة المعمارية	Q159483	ar
3	1	مجموعات المتحف	Q159483	ar
3	2	معارض	Q159483	ar
0	1	تاريخ المكتبة	Q15275733	ar
0	2	التأسيس	Q15275733	ar
1	1	أهداف المكتبة	Q15275733	ar
1	2	المكتبة	Q15275733	ar
2	1	أقسامها	Q15275733	ar
2	2	الإفتتاح	Q15275733	ar
3	1	انظر ايضاً	Q15275733	ar
3	2	الخدمات	Q15275733	ar
4	1	الفن المعاصر	Q15275733	ar
4	2	المنشأت	Q15275733	ar
0	1	تاريخ المكتبة	Q10927199	ar
0	2	التأسيس	Q10927199	ar
1	1	أهداف المكتبة	Q10927199	ar
1	2	المكتبة	Q10927199	ar
2	1	أقسامها	Q10927199	ar
2	2	الإفتتاح	Q10927199	ar
3	1	انظر ايضاً	Q10927199	ar
3	2	الخدمات	Q10927199	ar
4	1	الفن المعاصر	Q10927199	ar
